Idx,Interaction
0,CCQEL_MU
1,CCQEL_MU_P
2,CCQEL_MU_P_P
3,CCQEL_MU_P_P_P
4,CCQEL_MU_P_P_P_P
5,CCQEL_MU_P_P_P_P_P
6,CCQEL_E
7,CCQEL_E_P
8,CCQEL_E_P_P
9,CCQEL_E_P_P_P
10,CCQEL_E_P_P_P_P
11,CCQEL_E_P_P_P_P_P
12,NCQEL_P
13,NCQEL_P_P
14,NCQEL_P_P_P
15,NCQEL_P_P_P_P
16,NCQEL_P_P_P_P_P
17,CCRES_MU
18,CCRES_MU_P
19,CCRES_MU_P_P
20,CCRES_MU_P_P_P
21,CCRES_MU_P_P_P_P
22,CCRES_MU_P_P_P_P_P
23,CCRES_MU_PIPLUS
24,CCRES_MU_P_PIPLUS
25,CCRES_MU_P_P_PIPLUS
26,CCRES_MU_P_P_P_PIPLUS
27,CCRES_MU_P_P_P_P_PIPLUS
28,CCRES_MU_P_P_P_P_P_PIPLUS
29,CCRES_MU_PHOTON
30,CCRES_MU_P_PHOTON
31,CCRES_MU_P_P_PHOTON
32,CCRES_MU_P_P_P_PHOTON
33,CCRES_MU_P_P_P_P_PHOTON
34,CCRES_MU_P_P_P_P_P_PHOTON
35,CCRES_MU_PIZERO
36,CCRES_MU_P_PIZERO
37,CCRES_MU_P_P_PIZERO
38,CCRES_MU_P_P_P_PIZERO
39,CCRES_MU_P_P_P_P_PIZERO
40,CCRES_MU_P_P_P_P_P_PIZERO
41,CCRES_E
42,CCRES_E_P
43,CCRES_E_P_P
44,CCRES_E_P_P_P
45,CCRES_E_P_P_P_P
46,CCRES_E_P_P_P_P_P
47,CCRES_E_PIPLUS
48,CCRES_E_P_PIPLUS
49,CCRES_E_P_P_PIPLUS
50,CCRES_E_P_P_P_PIPLUS
51,CCRES_E_P_P_P_P_PIPLUS
52,CCRES_E_P_P_P_P_P_PIPLUS
53,CCRES_E_PHOTON
54,CCRES_E_P_PHOTON
55,CCRES_E_P_P_PHOTON
56,CCRES_E_P_P_P_PHOTON
57,CCRES_E_P_P_P_P_PHOTON
58,CCRES_E_P_P_P_P_P_PHOTON
59,CCRES_E_PIZERO
60,CCRES_E_P_PIZERO
61,CCRES_E_P_P_PIZERO
62,CCRES_E_P_P_P_PIZERO
63,CCRES_E_P_P_P_P_PIZERO
64,CCRES_E_P_P_P_P_P_PIZERO
65,NCRES_P
66,NCRES_P_P
67,NCRES_P_P_P
